Parcela;Subparcela;N_ind;DAP_cm_D;DAP_cm_F;Dist_H;Vmas_F;Vmenos_F;Vmas_T;Vmenos_T;D1_DC_m;D2_DC_m; Sum_DCT_m;Altura_Laser
A;;1;24,7;;;;;;;;;;
A;;2;26,2;;;;;;;;;;
A;A1;3;34,3;33,45;20,6;15;3;45;3;9,65;5,8;15,45;25
A;;4;16,9;;;;;;;;;0;
A;A1;5;20;20,45;15,8;12;-10;44;-10;1,97;1,9;3,87;17,2
A;;6;18,5;;;;;;;;;0;
A;;7;31,4;;;;;;;;;0;
A;;8;18,9;;;;;;;;;0;
A;A1;9;36,9;36,75;19,8;25;-5;44;-5;4,39;4,58;8,97;18,2
A;;10;37,6;;;;;;;;;0;
A;A1;11;20,3;19,95;11,4;3;-12;35;-12;6,43;2,67;9,1;16,2
A;;12;18,7;;;;;;;;;0;
A;;13;20,7;;;;;;;;;0;
A;;14;12,3;;;;;;;;;0;
A;A1;15;23,6;22,9;23,4;19;-10;44;-10;5,5;4,64;10,14;18,6
A;;16;18,5;;;;;;;;;0;
A;;17;19,7;;;;;;;;;0;
A;A1;18;17,6;17,3;17,6;22;-8;45;-8;1,85;3,9;5,75;18,2
A;;19;23,6;;;;;;;;;0;
A;A1;20;15,3;14,9;18,4;18;-2;44;-2;1,14;0,7;1,84;17,6
A;;21;25;;;;;;;;;0;
A;A1;22;20,1;19,75;23,8;28;-5;45;-5;4,73;6,26;10,99;20,6
A;A1;23;23,7;21,7;25;22;-5;37;-5;2,78;4,16;6,94;18,4
A;A1;24;22,4;21,65;25,4;20;-5;35;-5;5,24;2,97;8,21;19,2
A;A1;25;17;16,3;24,4;22;-5;39;-5;2,34;2,58;4,92;19,6
A;;26;11,3;;;;;;;;;0;
A;;27;17,7;;;;;;;;;0;
A;A1;28;14,1;13,5;17,4;15;-7;34;-7;1,45;1,7;3,15;17,8
A;;29;13,8;;;;;;;;;0;
B;B1;30;36,8;36,4;21,4;8;-14;44;-14;7,22;9,58;16,8;23,8
B;B1;31;23,1;22,55;23;17;-10;43;-10;3,52;5,86;9,38;20,55
B;B1;32;27,9;26,75;26,4;15;-10;40;-10;6,7;5,63;12,33;23,4
B;;33;28,6;;;;;;;;;0;
B;B1;34;34,7;34,1;11,6;8;-20;37;-20;5,5;6,9;12,4;16
B;B1;35;21,9;21,25;25,2;13;-18;35;-18;6,6;2,5;9,1;19,8
B;;36;26,9;;;;;;;;;0;
B;;37;28;;;;;;;;;0;
B;;38;22,3;;;;;;;;;0;
B;B1;39;26,3;25,4;19,8;6;-15;37;-15;6,1;8,37;14,47;22,3
B;;40;16,2;;;;;;;;;0;
B;;41;12,2;;;;;;;;;0;
