#;Parcela;Subparcela;DAP_cm;Dist_m;V_menos;V_mas;Alt_med;Alt_cal;Copa1;Copa2;D_copa;d1;d2
1;1;1a;25,6;12;8;49;14,8;15,49;4,9;4,9;4,9;25,8;26
2;1;;31;;;;;;;;;;
3;1;;28,2;;;;;;;;;;
4;1;1a;34,2;13,8;9;45;15,6;15,99;6;6,2;6,1;33,6;33,4
5;1;;24,2;;;;;;;;;;
6;1;;35,1;;;;;;;;;;
7;1;;28,6;;;;;;;;;;
8;1;;31,5;;;;;;;;;;
9;2;;22,5;;;;;;;;;;
10;2;2a;20,4;17,2;12;45;19,8;20,86;1,9;2,1;2;20,2;19,4
11;2;;50,6;;;;;;;;;;
12;2;2a;14,9;12;8;44;12,2;13,27;1,8;1,9;1,85;14,2;14,9
13;2;;30,4;;;;;;;;;;
14;2;;19,8;;;;;;;;;;
15;2;;14,7;;;;;;;;;;
16;2;2a;20,8;13,8;14;46;17;17,73;4,1;5,5;4,8;19,2;20,5
17;2;;23;;;;;;;;;;
18;2;;21,8;;;;;;;;;;
19;2;;32,7;;;;;;;;;;
20;2;;29,6;;;;;;;;;;
21;2;;14,7;;;;;;;;;;
22;2;2a;28,5;15,8;12;44;19;18,62;5,7;5,8;5,75;28,4;28,8
23;2;;38;;;;;;;;;;
24;3;3a;24,5;9,8;17;33;8,9;9,36;0;0;0;24,3;24,3
25;3;;14,6;;;;;;;;;;
26;3;;19,8;;;;;;;;;;
27;3;3a;18,1;9,8;18;43;11,5;12,32;5,2;2,3;3,75;18,3;17,6
28;3;3a;35,2;16;11;45;19,1;19,11;10;8,1;9,05;36;32,1
29;3;3a;27,5;15,8;8;42;15,7;16,45;4,6;5,1;4,85;26,8;27,5
30;3;;34,8;;;;;;;;;;
31;3;3a;17,70;11,40;16;38;11,9;12,18;3,40;2,50;2,95;17,50;17,70
32;3;;25,30;;;;;;;;;;
33;3;3a;19,90;11,20;16;31;9,7;9,94;0,00;0,00;0,00;19,50;19,80
34;3;;32,00;;;;;;;;;;
35;3;3a;26,80;12,80;9;44;13,8;14,39;5,10;5,80;5,45;24,80;27,00
36;3;3a;21,30;10,40;4;42;9,9;10,09;0,00;0,00;0,00;21,00;20,60
37;3;;40,20;;;;;;;;;;
38;3;3a;19,90;10,80;13;32;9,1;9,24;4,00;1,50;2,75;19,20;19,90
39;4;;27,20;;;;;;;;;;
40;4;4a;31,80;21,40;5;46;23,5;24,03;8,30;8,10;8,20;29,80;28,90
41;4;;15,40;;;;;;;;;;
42;4;;23,90;;;;;;;;;;
43;4;4a;34,90;19,40;7;44;20,7;21,12;7,90;7,80;7,85;33,50;34,40
44;4;4a;31,50;20,40;6;44;21,6;21,84;7,60;9,70;8,65;29,80;30,50
45;4;;23,60;;;;;;;;;;
46;4;;19,40;;;;;;;;;;
47;4;;35,40;;;;;;;;;;
48;4;4a;28,80;17,40;8;43;18,2;18,67;5,90;7,80;6,85;27,30;27,60
49;4;;20,10;;;;;;;;;;
50;4;4a;33,10;22,80;8;43;23,5;24,47;6,70;8,50;7,60;34,00;31,20
51;4;;31,50;;;;;;;;;;
